+--------------------------------+-------------+------------+----------+--------+--------+
|             Model              |    Split    |    Mode    | Accuracy | Errors |  Miss  |
+--------------------------------+-------------+------------+----------+--------+--------+
|       InstructBLIP-T5-XL       | E_metaphors |    cot     |  33.01%  | 0.00%  | 16.68% |
|       InstructBLIP-T5-XL       | E_metaphors |   domain   |  43.28%  | 0.00%  | 0.38%  |
|       InstructBLIP-T5-XL       | E_metaphors |  emotion   |  45.21%  | 0.00%  | 0.41%  |
|       InstructBLIP-T5-XL       | E_metaphors |    none    |  43.32%  | 0.00%  | 0.41%  |
|       InstructBLIP-T5-XL       | E_metaphors |  one-shot  |  40.42%  | 0.00%  | 0.38%  |
|       InstructBLIP-T5-XL       | E_metaphors | three-shot |  39.31%  | 0.00%  | 0.32%  |
|       InstructBLIP-T5-XL       | E_metaphors |  two-shot  |  39.44%  | 0.00%  | 0.32%  |
|   InternLM-XComposer2-VL-7b    | E_metaphors |    cot     |  22.23%  | 0.00%  | 34.14% |
|   InternLM-XComposer2-VL-7b    | E_metaphors |   domain   |  34.08%  | 0.00%  | 7.94%  |
|   InternLM-XComposer2-VL-7b    | E_metaphors |  emotion   |  35.69%  | 0.00%  | 10.47% |
|   InternLM-XComposer2-VL-7b    | E_metaphors |    none    |  33.42%  | 0.00%  | 8.29%  |
|   InternLM-XComposer2-VL-7b    | E_metaphors |  one-shot  |  33.73%  | 0.00%  | 0.41%  |
|   InternLM-XComposer2-VL-7b    | E_metaphors | three-shot |  36.19%  | 0.00%  | 0.00%  |
|   InternLM-XComposer2-VL-7b    | E_metaphors |  two-shot  |  36.19%  | 0.00%  | 0.00%  |
|          InternVL2-8B          | E_metaphors |    cot     |  54.26%  | 0.00%  | 2.18%  |
|          InternVL2-8B          | E_metaphors |   domain   |  54.98%  | 0.00%  | 0.00%  |
|          InternVL2-8B          | E_metaphors |  emotion   |  55.55%  | 0.00%  | 0.00%  |
|          InternVL2-8B          | E_metaphors |    none    |  56.37%  | 0.00%  | 0.00%  |
|          InternVL2-8B          | E_metaphors |  one-shot  |  53.50%  | 0.00%  | 0.00%  |
|          InternVL2-8B          | E_metaphors | three-shot |  52.84%  | 0.00%  | 0.00%  |
|          InternVL2-8B          | E_metaphors |  two-shot  |  51.70%  | 0.00%  | 0.00%  |
|         InternVL2_5-8B         | E_metaphors |    cot     |  55.83%  | 0.00%  | 0.22%  |
|         InternVL2_5-8B         | E_metaphors |   domain   |  58.26%  | 0.00%  | 0.03%  |
|         InternVL2_5-8B         | E_metaphors |  emotion   |  58.42%  | 0.00%  | 0.03%  |
|         InternVL2_5-8B         | E_metaphors |    none    |  58.51%  | 0.00%  | 0.03%  |
|         InternVL2_5-8B         | E_metaphors |  one-shot  |  55.01%  | 0.00%  | 0.00%  |
|         InternVL2_5-8B         | E_metaphors | three-shot |  55.39%  | 0.00%  | 0.00%  |
|         InternVL2_5-8B         | E_metaphors |  two-shot  |  55.14%  | 0.00%  | 0.00%  |
|      MiniCPM-Llama3-V-2_5      | E_metaphors |    cot     |  48.99%  | 0.00%  | 0.95%  |
|      MiniCPM-Llama3-V-2_5      | E_metaphors |   domain   |  48.30%  | 0.00%  | 1.07%  |
|      MiniCPM-Llama3-V-2_5      | E_metaphors |  emotion   |  49.72%  | 0.00%  | 0.63%  |
|      MiniCPM-Llama3-V-2_5      | E_metaphors |    none    |  49.27%  | 0.00%  | 1.54%  |
|      MiniCPM-Llama3-V-2_5      | E_metaphors |  one-shot  |  48.93%  | 0.00%  | 0.32%  |
|      MiniCPM-Llama3-V-2_5      | E_metaphors | three-shot |  48.46%  | 0.00%  | 0.35%  |
|      MiniCPM-Llama3-V-2_5      | E_metaphors |  two-shot  |  47.73%  | 0.00%  | 0.22%  |
|          Qwen-VL-Chat          | E_metaphors |    cot     |  36.29%  | 0.00%  | 13.02% |
|          Qwen-VL-Chat          | E_metaphors |   domain   |  36.38%  | 0.00%  | 13.56% |
|          Qwen-VL-Chat          | E_metaphors |  emotion   |  37.61%  | 0.00%  | 12.52% |
|          Qwen-VL-Chat          | E_metaphors |    none    |  36.41%  | 0.00%  | 12.89% |
|          Qwen-VL-Chat          | E_metaphors |  one-shot  |  37.45%  | 0.00%  | 0.85%  |
|          Qwen-VL-Chat          | E_metaphors | three-shot |  36.79%  | 0.00%  | 1.86%  |
|          Qwen-VL-Chat          | E_metaphors |  two-shot  |  37.11%  | 0.00%  | 0.22%  |
|        blip2-flan-t5-xl        | E_metaphors |    cot     |  29.13%  | 0.00%  | 34.30% |
|        blip2-flan-t5-xl        | E_metaphors |   domain   |  45.11%  | 0.00%  | 0.00%  |
|        blip2-flan-t5-xl        | E_metaphors |  emotion   |  45.74%  | 0.00%  | 0.00%  |
|        blip2-flan-t5-xl        | E_metaphors |    none    |  45.87%  | 0.00%  | 0.00%  |
|        blip2-flan-t5-xl        | E_metaphors |  one-shot  |  40.86%  | 0.00%  | 0.03%  |
|        blip2-flan-t5-xl        | E_metaphors | three-shot |  17.21%  | 0.00%  | 0.00%  |
|        blip2-flan-t5-xl        | E_metaphors |  two-shot  |  16.46%  | 0.00%  | 8.70%  |
|   claude-3-7-sonnet-20250219   | E_metaphors |    cot     |  65.01%  | 0.00%  | 0.00%  |
|   claude-3-7-sonnet-20250219   | E_metaphors |   domain   |  64.90%  | 0.00%  | 0.25%  |
|   claude-3-7-sonnet-20250219   | E_metaphors |  emotion   |  66.70%  | 0.00%  | 0.19%  |
|   claude-3-7-sonnet-20250219   | E_metaphors |    none    |  66.20%  | 0.00%  | 0.16%  |
|   claude-3-7-sonnet-20250219   | E_metaphors |  one-shot  |  66.14%  | 0.00%  | 0.19%  |
|   claude-3-7-sonnet-20250219   | E_metaphors | three-shot |  67.55%  | 0.00%  | 0.26%  |
|   claude-3-7-sonnet-20250219   | E_metaphors |  two-shot  |  66.06%  | 0.00%  | 0.46%  |
|          deepseek_vl2          | E_metaphors |    cot     |  54.07%  | 0.00%  | 0.00%  |
|          deepseek_vl2          | E_metaphors |   domain   |  55.26%  | 0.00%  | 0.00%  |
|          deepseek_vl2          | E_metaphors |  emotion   |  55.77%  | 0.00%  | 0.00%  |
|          deepseek_vl2          | E_metaphors |    none    |  55.33%  | 0.00%  | 0.00%  |
|          deepseek_vl2          | E_metaphors |  one-shot  |  52.87%  | 0.00%  | 0.00%  |
|          deepseek_vl2          | E_metaphors | three-shot |  53.44%  | 0.00%  | 0.00%  |
|          deepseek_vl2          | E_metaphors |  two-shot  |  54.10%  | 0.00%  | 0.00%  |
| gemini-2.5-flash-preview-04-17 | E_metaphors |    cot     |  61.44%  | 0.00%  | 13.59% |
| gemini-2.5-flash-preview-04-17 | E_metaphors |   domain   |  63.52%  | 0.00%  | 9.17%  |
| gemini-2.5-flash-preview-04-17 | E_metaphors |  emotion   |  58.70%  | 0.00%  | 17.91% |
| gemini-2.5-flash-preview-04-17 | E_metaphors |    none    |  63.75%  | 0.00%  | 9.49%  |
| gemini-2.5-flash-preview-04-17 | E_metaphors |  one-shot  |  62.50%  | 0.00%  | 11.05% |
| gemini-2.5-flash-preview-04-17 | E_metaphors | three-shot |  66.93%  | 0.00%  | 5.28%  |
| gemini-2.5-flash-preview-04-17 | E_metaphors |  two-shot  |  63.95%  | 0.00%  | 7.63%  |
|          glm-4v-plus           | E_metaphors |    cot     |  63.18%  | 0.00%  | 1.83%  |
|          glm-4v-plus           | E_metaphors |   domain   |  63.84%  | 0.00%  | 0.88%  |
|          glm-4v-plus           | E_metaphors |  emotion   |  64.60%  | 0.00%  | 0.85%  |
|          glm-4v-plus           | E_metaphors |    none    |  64.53%  | 0.00%  | 0.95%  |
|          glm-4v-plus           | E_metaphors |  one-shot  |  60.91%  | 0.00%  | 0.88%  |
|          glm-4v-plus           | E_metaphors | three-shot |  47.76%  | 0.00%  | 0.91%  |
|          glm-4v-plus           | E_metaphors |  two-shot  |  60.31%  | 0.00%  | 0.88%  |
|             gpt4o              | E_metaphors |    cot     |  60.37%  | 0.00%  | 0.00%  |
|             gpt4o              | E_metaphors |   domain   |  59.62%  | 0.00%  | 0.06%  |
|             gpt4o              | E_metaphors |  emotion   |  60.34%  | 0.00%  | 0.13%  |
|             gpt4o              | E_metaphors |    none    |  62.04%  | 0.00%  | 0.69%  |
|             gpt4o              | E_metaphors |  one-shot  |  67.34%  | 0.00%  | 0.03%  |
|             gpt4o              | E_metaphors | three-shot |  69.07%  | 0.00%  | 0.06%  |
|             gpt4o              | E_metaphors |  two-shot  |  69.36%  | 0.00%  | 0.00%  |
|          idefics2-8b           | E_metaphors |    cot     |  51.99%  | 0.00%  | 0.16%  |
|          idefics2-8b           | E_metaphors |   domain   |  52.14%  | 0.00%  | 0.00%  |
|          idefics2-8b           | E_metaphors |  emotion   |  52.77%  | 0.00%  | 0.00%  |
|          idefics2-8b           | E_metaphors |    none    |  51.58%  | 0.00%  | 0.00%  |
|          idefics2-8b           | E_metaphors |  one-shot  |  48.83%  | 0.00%  | 3.06%  |
|          idefics2-8b           | E_metaphors | three-shot |  41.93%  | 0.00%  | 8.67%  |
|          idefics2-8b           | E_metaphors |  two-shot  |  43.06%  | 0.00%  | 11.82% |
|       qwen-vl-max-latest       | E_metaphors |    cot     |  58.71%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors |   domain   |  63.22%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors |  emotion   |  60.72%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors |    none    |  62.73%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors |  one-shot  |  64.59%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors | three-shot |  66.32%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors |  two-shot  |  67.46%  | 0.00%  | 0.00%  |
